keys,de,en,tr
DECO_REGAL,Holzregal,Wooden shelf,Ahşap raf
DECO_REGAL_INFO,Freistehendes Regal — frei verschieb- und drehbar.,Free-standing shelf — move and rotate it anywhere.,Serbest duran raf — istediğin yere taşı ve döndür.
DECO_FASS,Deko-Fass,Decorative barrel,Süs fıçısı
DECO_FASS_INFO,Großes Holzfass für eine gemütliche Ecke.,Big wooden barrel for a cosy corner.,Sıcak bir köşe için büyük ahşap fıçı.
DECO_KRONLEUCHTER,Geweih-Kronleuchter,Antler chandelier,Boynuzlu avize
DECO_KRONLEUCHTER_INFO,Hängt unter dem Dach und gibt warmes Licht.,Hangs from the roof and gives warm light.,Çatıdan sarkar ve sıcak ışık verir.
DECO_LICHTERGIRLANDE,Lichtergirlande,Light garland,Işık girlandı
DECO_LICHTERGIRLANDE_INFO,Glühbirnen-Girlande für die Decke.,Bulb garland for the ceiling.,Tavan için ampul girlandı.
DECO_HAENGELATERNE,Hängelaterne,Hanging lantern,Asma fener
DECO_HAENGELATERNE_INFO,Kleine Laterne unter dem Dach.,Small lantern under the roof.,Çatının altında küçük fener.
DECO_HOPFEN,Hopfengirlande,Hop garland,Şerbetçiotu girlandı
DECO_HOPFEN_INFO,Hängt an der Zeltwand.,Hangs on the tent wall.,Çadır duvarına asılır.
DECO_RIESENBREZEL,Riesenbrezel,Giant pretzel,Dev brezel
DECO_RIESENBREZEL_INFO,Das Wahrzeichen jeder Wiesn — für die Wand.,The landmark of every fair — for the wall.,Her panayırın simgesi — duvar için.
DECO_BANNER,Wirtshaus-Banner,Tavern banner,Meyhane sancağı
DECO_BANNER_INFO,Banner mit Maßkrug für die Zeltwand.,Banner with a beer mug for the tent wall.,Çadır duvarı için bira kupalı sancak.
DECO_WIMPEL,Wimpelkette,Bunting,Flama zinciri
DECO_WIMPEL_INFO,Blau-weiße Wimpel für die Wand.,Blue and white pennants for the wall.,Duvar için mavi-beyaz flamalar.
WHY_DECO_LIMIT,Höchstens %d Gegenstände im Zelt,At most %d items in the tent,Çadırda en fazla %d eşya
MSG_DECO_LIMIT,Höchstens %d Gegenstände im Zelt,At most %d items in the tent,Çadırda en fazla %d eşya
MSG_DECO_BOUGHT,%s gekauft — steht am Zelteingang,%s bought — waiting at the tent entrance,%s alındı — çadır girişinde duruyor
HINT_MOVE_DECO,{interact} Aufnehmen,{interact} Pick up,{interact} Al
HINT_PLACE_DECO,{interact} Abstellen · {emote} Drehen · {costume} Verkaufen,{interact} Put down · {emote} Rotate · {costume} Sell,{interact} Bırak · {emote} Döndür · {costume} Sat
MSG_DECO_SOLD,%s verkauft (+%s),%s sold (+%s),%s satıldı (+%s)
MS_REWARD,Belohnung: %s,Reward: %s,Ödül: %s
MS_DONE,Erreicht,Achieved,Başarıldı
MSG_MILESTONE,Meilenstein: %s — Belohnung %s,Milestone: %s — reward %s,Kilometre taşı: %s — ödül %s
MS_ERSTE_MASS_TITLE,Die erste Maß,The first mug,İlk kupa
MS_ERSTE_MASS_TEXT,Bediene deinen ersten Gast.,Serve your first guest.,İlk misafirine servis yap.
MS_UMSATZ_1000_TITLE,Die ersten 1.000 €,"The first €1,000",İlk 1.000 €
MS_UMSATZ_1000_TEXT,Nimm insgesamt 1.000 € ein.,"Earn €1,000 in total.",Toplam 1.000 € kazan.
MS_TAG_7_TITLE,Eine Woche Wiesn,A week at the fair,Fuarda bir hafta
MS_TAG_7_TEXT,Schließe 7 Tage ab.,Finish 7 days.,7 günü tamamla.
MS_MASS_100_TITLE,100 Bestellungen,100 orders,100 sipariş
MS_MASS_100_TEXT,Bediene insgesamt 100 Bestellungen.,Serve 100 orders in total.,Toplam 100 sipariş servis et.
MS_ZELT_2_TITLE,Mehr Platz,More room,Daha fazla yer
MS_ZELT_2_TEXT,Vergrößere dein Zelt auf mittlere Größe.,Enlarge your tent to medium size.,Çadırını orta boya büyüt.
MS_PUTZ_50_TITLE,Blitzblank,Spotless,Pırıl pırıl
MS_PUTZ_50_TEXT,Mach 50 Pfützen und Flecken sauber.,Clean up 50 puddles and messes.,50 birikinti ve lekeyi temizle.
MS_ALLE_LIZENZEN_TITLE,Volle Karte,Full menu,Tam menü
MS_ALLE_LIZENZEN_TEXT,Kaufe alle vier Lizenzen.,Buy all four licenses.,Dört lisansın hepsini al.
MS_UMSATZ_10000_TITLE,10.000 € Umsatz,"€10,000 revenue",10.000 € ciro
MS_UMSATZ_10000_TEXT,Nimm insgesamt 10.000 € ein.,"Earn €10,000 in total.",Toplam 10.000 € kazan.
MS_KELLNER_5_TITLE,Meisterkellner,Master waiter,Usta garson
MS_KELLNER_5_TEXT,Bring einen Kellner auf Stufe 5.,Get a waiter to level 5.,Bir garsonu 5. seviyeye çıkar.
MS_TAG_30_TITLE,Ein Monat Wiesn,A month at the fair,Fuarda bir ay
MS_TAG_30_TEXT,Schließe 30 Tage ab.,Finish 30 days.,30 günü tamamla.
MS_MASS_1000_TITLE,1.000 Bestellungen,"1,000 orders",1.000 sipariş
MS_MASS_1000_TEXT,Bediene insgesamt 1.000 Bestellungen.,"Serve 1,000 orders in total.",Toplam 1.000 sipariş servis et.
MS_ZELT_3_TITLE,Das große Zelt,The big tent,Büyük çadır
MS_ZELT_3_TEXT,Vergrößere dein Zelt auf die größte Stufe.,Enlarge your tent to the largest size.,Çadırını en büyük boya büyüt.
MS_UMSATZ_100000_TITLE,Wiesn-Wirt,Beer tent tycoon,Çadır patronu
MS_UMSATZ_100000_TEXT,Nimm insgesamt 100.000 € ein.,"Earn €100,000 in total.",Toplam 100.000 € kazan.
CREDITS_TITLE,Mitwirkende,Credits,Emeği Geçenler
CREDITS_BODY,"Spielidee und Entwicklung\nSerdar Vapur\n\nKirmes-Modelle\nAmusement Park Pack\n\nFiguren und Zelt\nerstellt mit Meshy und Blender\n\nMusik\nerstellt mit AIMusic.so\n\nEngine\nGodot Engine\n\nSteam-Anbindung\nGodotSteam\n\nLizenzhinweise stehen unten.","Game design and development\nSerdar Vapur\n\nFairground models\nAmusement Park Pack\n\nCharacters and tent\ncreated with Meshy and Blender\n\nMusic\ncreated with AIMusic.so\n\nEngine\nGodot Engine\n\nSteam integration\nGodotSteam\n\nLicence notices are below.","Oyun tasarımı ve geliştirme\nSerdar Vapur\n\nLunapark modelleri\nAmusement Park Pack\n\nKarakterler ve çadır\nMeshy ve Blender ile yapıldı\n\nMüzik\nAIMusic.so ile yapıldı\n\nOyun motoru\nGodot Engine\n\nSteam bağlantısı\nGodotSteam\n\nLisans bildirimleri aşağıdadır."
CREDITS_LICENSES,Lizenzhinweise,Licence notices,Lisans bildirimleri
WORLD_COMPUTER,"Zelt-Computer\n({interact}: Bierpreis · Bilanz)","Tent computer\n({interact}: beer price · report)","Çadır bilgisayarı\n({interact}: bira fiyatı · bilanço)"
WORLD_MUGS,"Krüge ({interact})","Mugs ({interact})","Kupalar ({interact})"
WORLD_OFFICE,"Wiesenbüro\n({interact}: Zelt · Personal · Ware)","Fair Office\n({interact}: tent · staff · supplies)","Fuar Ofisi\n({interact}: çadır · personel · malzeme)"
WORLD_OFFICE_SIGN,WIESENBÜRO,FAIR OFFICE,FUAR OFİSİ
WORLD_CARAVAN,"Wohnwagen\n({interact}: schlafen nächster Tag)","Caravan\n({interact}: sleep next day)","Karavan\n({interact}: uyu sonraki gün)"
WORLD_KIOSK,"Zelt buchen\n({interact})","Book a tent\n({interact})","Çadır kirala\n({interact})"
WORLD_STAGE,BÜHNE,STAGE,SAHNE
WORLD_KEG_1,Helles ({interact}),Helles ({interact}),Helles ({interact})
WORLD_KEG_2,Weizen ({interact}),Wheat beer ({interact}),Buğday birası ({interact})
WORLD_KEG_3,Radler ({interact}),Shandy ({interact}),Radler ({interact})
WORLD_KEG_4,Festbier ({interact}),Festival beer ({interact}),Festival birası ({interact})
WORLD_KEG_5,Wasser ({interact}),Water ({interact}),Su ({interact})
WORLD_SCHIESSSTAND,Schießbude,Shooting Gallery,Atış Standı
HINT_SCHIESSSTAND,{interact} Schießen (2 €),{interact} Shoot (€2),{interact} Ateş et (2 €)
SCHIESS_ANZEIGE,"Treffer: %d · Schuss: %d · Zeit: %d s · Maus zielt, Linksklick schießt, Esc beendet","Hits: %d · Shots: %d · Time: %d s · Mouse aims, left click shoots, Esc quits","İsabet: %d · Atış: %d · Süre: %d sn · Fare nişan alır, sol tık ateş, Esc çıkış"
WORLD_KIRMES_SPIEL,Kirmesspiel,fair game,panayır oyunu
HINT_DOSENWURF,{interact} Dosenwerfen (2 €),{interact} Can throwing (€2),{interact} Kutu devirme (2 €)
HINT_LUKAS,{interact} Hau den Lukas (2 €),{interact} High striker (€2),{interact} Güç ölçer (2 €)
DOSENWURF_ANZEIGE,"Umgeworfen: %d von %d · Bälle: %d · Maus zielt, Maustaste halten und loslassen wirft, Esc beendet","Knocked over: %d of %d · Balls: %d · Mouse aims, hold and release the button to throw, Esc quits","Devrilen: %d / %d · Top: %d · Fare nişan alır, tuşu basılı tutup bırakınca atar, Esc çıkış"
DOSENWURF_KRAFT,Wurfkraft,Throw power,Atış gücü
LUKAS_ANZEIGE,"Punkte: %d von 10 · Schläge: %d · Linksklick schlägt zu, wenn die Kraft oben ist · Esc beendet","Points: %d of 10 · Swings: %d · Left click strikes when the power is at the top · Esc quits","Puan: %d / 10 · Vuruş: %d · Güç en üstteyken sol tıkla vur · Esc çıkış"
LUKAS_KRAFT,Im richtigen Moment zuschlagen — ganz oben klingelt die Glocke!,Strike at the right moment — at the very top the bell rings!,Doğru anda vur — en üstte çan çalar!
MSG_KIRMES_GEWINN,"%d von 10 Punkten — du gewinnst: %s (%s)!","%d of 10 points — you win: %s (%s)!","10 üzerinden %d puan — kazandın: %s (%s)!"
MSG_KIRMES_NIETE,"%d von 10 Punkten — leider eine Niete. Ab 4 Punkten gibt es einen Preis!","%d of 10 points — no prize this time. 4 points win a prize!","10 üzerinden %d puan — maalesef boş. 4 puandan itibaren ödül var!"
SCHIESS_LUFT,Leertaste halten: Luft anhalten · Glocke zählt doppelt,Hold Space: hold your breath · the bell counts double,Boşluk tuşunu basılı tut: nefesini tut · çan iki kat sayılır
PREIS_TEDDY,Teddybär,teddy bear,oyuncak ayı
PREIS_HERZ,Lebkuchenherz,gingerbread heart,zencefilli kurabiye kalbi
PREIS_ROSE,Plastikrose,plastic rose,plastik gül
MSG_SCHIESS_GEWINN,"%d Treffer — du gewinnst: %s (%s)!","%d hits — you win: %s (%s)!","%d isabet — kazandın: %s (%s)!"
MSG_SCHIESS_NIETE,"%d Treffer — leider eine Niete. Ab 4 Treffern gibt es einen Preis!","%d hits — no prize this time. 4 hits win a prize!","%d isabet — maalesef boş. 4 isabetten itibaren ödül var!"
HINT_WASSER_GEBEN,{interact} Wasser geben (nüchterner),{interact} Give water (sobers up),{interact} Su ver (ayıltır)
HINT_HEIMBRINGEN,{interact} Bierleiche heimbringen,{interact} Take the passed-out guest home,{interact} Sızan misafiri eve götür
MSG_BIERLEICHE,"Ein Gast ist eingeschlafen — Wasser bringen oder mit leeren Händen heimbringen, sonst kotzt er!","A guest passed out — bring water or take them home with empty hands, or they'll throw up!","Bir misafir sızdı — su getir ya da boş elle eve götür, yoksa kusacak!"
WORLD_FOOD_3,"Hendl ({interact} halten)","Roast chicken (hold {interact})","Tavuk ({interact} basılı tut)"
WORLD_FOOD_1,"Brezn ({interact} halten)","Pretzel (hold {interact})","Brezel ({interact} basılı tut)"
WORLD_FOOD_2,"Würstl ({interact} halten)","Sausage (hold {interact})","Sosis ({interact} basılı tut)"
WORLD_STORAGE,"LAGER %d\nHier: Bier %d · Essen %d\nGesamt: Bier %d · Essen %d\n({interact}: Paket einlagern)","STORAGE %d\nHere: beer %d · food %d\nTotal: beer %d · food %d\n({interact}: store package)","DEPO %d\nBurada: bira %d · yemek %d\nToplam: bira %d · yemek %d\n({interact}: paketi depola)"
ACTION_SCREENSHOT,Bildschirmfoto,Screenshot,Ekran görüntüsü
ACTION_PING,Markieren (für Mitspieler),Ping (for teammates),İşaretle (takım arkadaşları için)
MSG_SCREENSHOT,Bildschirmfoto gespeichert: %s,Screenshot saved: %s,Ekran görüntüsü kaydedildi: %s
KOOP_TITLE,Mit Freunden spielen,Play with friends,Arkadaşlarla oyna
KOOP_SUB,Einer erstellt das Spiel und schickt den Code herum — alle anderen treten mit dem Code bei.,One of you creates the game and shares the code — everyone else joins with it.,Biri oyunu kurar ve kodu paylaşır — diğer herkes bu kodla katılır.
KOOP_HOST_HEAD,Spiel eröffnen,Host a game,Oyun kur
KOOP_HOST_TEXT,Du bekommst einen Code und startest das Spiel für alle.,You get a code and start the game for everyone.,Bir kod alırsın ve oyunu herkes için başlatırsın.
KOOP_JOIN_HEAD,Dabei sein,Join in,Katıl
KOOP_ROOM_TITLE,Warteraum,Waiting room,Bekleme odası
KOOP_CREATE,Neues Spiel erstellen,Create a new game,Yeni oyun kur
KOOP_OR,— oder —,— or —,— ya da —
KOOP_CODE_PLACEHOLDER,"Code, z. B. BREZN-42","Code, e.g. BREZN-42","Kod, örn. BREZN-42"
KOOP_JOIN,Mit Code beitreten,Join with code,Kodla katıl
KOOP_MORE,Offizieller Server / IP,Official server / IP,Resmi sunucu / IP
KOOP_NEED_NAME,Gib zuerst deinen Namen ein.,Enter your name first.,Önce adını gir.
KOOP_NEED_CODE,Gib den Einladungscode ein.,Enter the invite code.,Davet kodunu gir.
KOOP_WORKING,Einen Moment …,One moment …,Bir saniye …
KOOP_INVITE,Einladungscode,Invite code,Davet kodu
KOOP_INVITE_HINT,Schick diesen Code deinen Freunden.,Send this code to your friends.,Bu kodu arkadaşlarına gönder.
KOOP_COPY,Kopieren,Copy,Kopyala
KOOP_COPIED,Kopiert!,Copied!,Kopyalandı!
KOOP_PLAYERS,%d von %d Spielern,%d of %d players,%d / %d oyuncu
KOOP_EMPTY_SLOT,Platz frei …,Free seat …,Boş yer …
KOOP_HOST_TAG,Gastgeber,Host,Ev sahibi
KOOP_YOU,(du),(you),(sen)
KOOP_IN_GAME,schon im Spiel,already in the game,zaten oyunda
KOOP_FIGURE,Deine Figur,Your character,Karakterin
KOOP_START,Los geht's!,Let's go!,Hadi başlayalım!
KOOP_ENTER,Ins Spiel!,Join the game!,Oyuna gir!
KOOP_WAIT_HOST,"Warte, bis %s das Spiel startet …",Waiting for %s to start the game …,%s oyunu başlatana kadar bekleniyor …
KOOP_STARTING,Das Zelt wird aufgebaut … (bis zu 30 Sekunden),Setting up the tent … (up to 30 seconds),Çadır kuruluyor … (30 saniyeye kadar)
KOOP_CONNECTING,Verbinde mit dem Spiel …,Connecting to the game …,Oyuna bağlanılıyor …
KOOP_LEAVE,Verlassen,Leave,Ayrıl
KOOP_BACK,Zurück,Back,Geri
KOOP_FIG_0,Bohnen-Bartl,Bean Bartl,Fasulye Bartl
KOOP_FIG_1,Wiesn-Wastl,Wiesn Wastl,Wiesn Wastl
KOOP_FIG_2,Dirndl-Resi,Dirndl Resi,Dirndl Resi
LOBBY_ERR_VERSION,"Es gibt eine neue Version — starte das Spiel neu, dann wird aktualisiert.",A new version is out — restart the game to update.,Yeni sürüm var — güncellemek için oyunu yeniden başlat.
LOBBY_ERR_CODE,Diesen Code gibt es nicht. Vertippt?,That code does not exist. Typo?,Böyle bir kod yok. Yanlış mı yazdın?
LOBBY_ERR_ROOM_FULL,Das Spiel ist voll (4 Spieler).,The game is full (4 players).,Oyun dolu (4 oyuncu).
LOBBY_ERR_SERVER_FULL,Der Server ist gerade voll — probiert es in ein paar Minuten nochmal.,The server is full right now — try again in a few minutes.,Sunucu şu an dolu — birkaç dakika sonra tekrar deneyin.
LOBBY_ERR_NOT_HOST,Nur der Gastgeber kann das Spiel starten.,Only the host can start the game.,Oyunu sadece ev sahibi başlatabilir.
LOBBY_ERR_START,Das Spiel konnte nicht starten. Nochmal versuchen?,The game could not start. Try again?,Oyun başlatılamadı. Tekrar denensin mi?
LOBBY_ERR_GONE,Du warst zu lange weg und wurdest aus dem Warteraum genommen.,You were away too long and left the waiting room.,Çok uzun süre yoktun ve bekleme odasından çıkarıldın.
LOBBY_ERR_SERVER,Der Lobby-Server antwortet nicht. Ist das Internet an?,The lobby server is not answering. Are you online?,Lobi sunucusu yanıt vermiyor. İnternet açık mı?
HINT_AUSGABE_PUT,{interact} Krug auf die Ausgabe stellen,{interact} Put mug on the pass,{interact} Kupayı servis yerine koy
MSG_AUSGABE_FULL,Die Ausgabe ist voll (%s Krüge) — erst abholen lassen,The counter is full (%s mugs) — let someone pick them up first,Tezgah dolu (%s kupa) — önce birinin alması lazım
INTRO_TITLE,So läuft die Schicht,How the shift works,Vardiya nasıl işler
INTRO_SUB,"Jeder kann alles — aber teilt euch auf, sonst wird's hektisch!","Anyone can do anything — but split up, or it gets hectic!","Herkes her şeyi yapabilir — ama işi paylaşın, yoksa ortalık karışır!"
INTRO_ZAPFEN,"Zapfen: hinten am Regal leeren Krug nehmen, am Fass {interact} halten, vorne auf die Ausgabe stellen","Pouring: grab an empty mug at the back shelf, hold {interact} at a keg, put it on the pass up front","Doldurma: arka raftan boş kupa al, fıçıda {interact} basılı tut, öndeki servis yerine koy"
INTRO_SERVIEREN,"Servieren: vorne an der Ausgabe {interact}, zum Gast mit passender Blase gehen, {interact}","Serving: {interact} at the pass up front, walk to the guest with the matching bubble, {interact}","Servis: öndeki servis yerinde {interact}, uygun balonlu misafire git, {interact}"
INTRO_KUECHE,"Küche: an der Kochtheke {interact} halten, Essen zu den Gästen bringen","Kitchen: hold {interact} at the cooking counter, bring food to the guests","Mutfak: pişirme tezgahında {interact} basılı tut, yemeği misafirlere götür"
INTRO_LAGER,"Lager: Pakete vom Lieferwagen ins Lager tragen — ohne Ware kein Bier","Storage: carry parcels from the van into storage — no stock, no beer","Depo: paketleri kamyonetten depoya taşı — mal yoksa bira da yok"
INTRO_PUTZEN,Putzen: auf Pfützen und Dreck {interact} halten,Cleaning: hold {interact} on puddles and mess,Temizlik: birikinti ve pisliklerde {interact} basılı tut
INTRO_CLOSE,[Enter] Verstanden · {help} Hilfe,[Enter] Got it · {help} Help,[Enter] Anladım · {help} Yardım
HINT_PLACE_TABLE,{interact} Abstellen · {emote} Drehen,{interact} Put down · {emote} Rotate,{interact} Bırak · {emote} Döndür
MSG_TABLE_VERSCHOBEN,Der Tisch passte dort nicht hin und steht jetzt auf dem nächsten freien Platz.,The table didn't fit there and now stands on the nearest free spot.,Masa oraya sığmadı ve en yakın boş yere kondu.
MSG_LIC_PREISRAUM,"Mehr Auswahl, mehr Spielraum: Den Bierpreis kannst du jetzt zwischen %s und %s %% einstellen (Zelt-Computer).","More choice, more leeway: you can now set the beer price between %s and %s %% (tent computer).","Daha çok çeşit, daha çok esneklik: Bira fiyatını artık %s ile %s %% arasında ayarlayabilirsin (çadır bilgisayarı)."
SIGN_ZELT_EROEFFNEN,O'zapft is!,O'zapft is!,O'zapft is!
SIGN_ZELT_EROEFFNEN_SUB,[E] Festzelt eröffnen,[E] Open the beer tent,[E] Bira çadırını aç
HINT_ZELT_EROEFFNEN,{interact} Fass anstechen und das Zelt eröffnen,{interact} Tap the keg and open the tent,{interact} Fıçıyı aç ve çadırı aç
MSG_ZELT_WARTET,"Die Kirmes hat offen — geht zum Zelteingang und eröffnet das Festzelt (Fass anstechen)!","The fair is open — go to the tent entrance and open the beer tent (tap the keg)!","Panayır açıldı — çadır girişine gidin ve bira çadırını açın (fıçıyı açın)!"
MSG_ZELT_OFFEN,"O'zapft is! %s hat das Zelt eröffnet — gleich kommen die Gäste.","O'zapft is! %s opened the tent — guests are on their way.","O'zapft is! %s çadırı açtı — misafirler geliyor."
MSG_ZELT_AUTO,"10 Uhr: Das Zelt wurde von selbst eröffnet — nächstes Mal früher anstechen!","10 o'clock: the tent opened by itself — tap the keg earlier next time!","Saat 10: Çadır kendiliğinden açıldı — bir dahaki sefere fıçıyı daha erken açın!"
HINT_HAND_KRUG,[G] Trinken · {interact} Abstellen,[G] Drink · {interact} Put down,[G] İç · {interact} Bırak
HINT_HAND_ABLEGEN,{interact} Abstellen,{interact} Put down,{interact} Bırak
HINT_AUFHEBEN,{interact} Aufheben,{interact} Pick up,{interact} Al
MSG_RAUSCH,Hoppla — du hast einen sitzen!,Whoops — you're tipsy!,Hoppala — kafan iyi oldu!
MSG_RAUSCH_STARK,Jetzt ist aber gut — du schwankst gewaltig!,That's enough — you're swaying hard!,Bu kadar yeter — fena sallanıyorsun!
ACTION_SPRINGEN,Springen,Jump,Zıpla
ACTION_TRINKEN,Trinken,Drink,İç
GAST_TYP_STAMM,Stammgast,Regular,Müdavim
GAST_TYP_TOURIST,Tourist,Tourist,Turist
GAST_TYP_TRACHT,In Tracht,In traditional dress,Geleneksel kıyafetli
GAST_TYP_VIP,VIP,VIP,VIP
BUBBLE_ANGRY,sauer,annoyed,kızgın
HUD_DETAILS_HINT,[Strg] Gäste-Details,[Ctrl] Guest details,[Ctrl] Misafir detayları
HUD_ORDERS,Offene Bestellungen,Open orders,Açık siparişler
MSG_AUSGABE_SORTE_VOLL,Der Platz für diese Sorte ist voll (%s) — erst abholen lassen,The spot for this kind is full (%s) — let someone pick up first,Bu çeşidin yeri dolu (%s) — önce birinin alması lazım
OFFER_LAGERREGAL,Lagerregal,Storage shelf,Depo rafı
OFFER_LAGERREGAL_INFO,"Mehr Platz für Ware: jedes Regal fasst %s Bier und %s Zutaten. Jetzt %s von höchstens %s Regalen.","More room for supplies: each shelf holds %s beer and %s ingredients. Now %s of at most %s shelves.","Mallar için daha çok yer: her raf %s bira ve %s malzeme alır. Şu an en fazla %s rafın %s tanesi var."
MSG_LAGERREGAL_GEKAUFT,"Neues Lagerregal aufgestellt — jetzt passen %s Einheiten je Ware ins Lager.","New storage shelf set up — storage now holds %s units per kind.","Yeni depo rafı kuruldu — depo artık her mal için %s birim alıyor."
MSG_LAGER_VOLL,"Das Lager ist voll (%s je Ware) — Paket liegt wieder am Boden. Mehr Regale gibt es im Wiesenbüro.","Storage is full (%s per kind) — the parcel is back on the floor. More shelves in the fair office.","Depo dolu (her mal için %s) — paket yeniden yerde. Daha fazla raf fuar ofisinde."
WHY_MAX_REGALE,Mehr als %s Lagerregale passen nicht ins Zelt.,No more than %s storage shelves fit in the tent.,Çadıra en fazla %s depo rafı sığar.
HINT_MOVE_LAGER,{interact} Regal verschieben,{interact} Move shelf,{interact} Rafı taşı
HINT_PLACE_LAGER,{interact} Abstellen · {emote} Drehen,{interact} Put down · {emote} Rotate,{interact} Bırak · {emote} Döndür
SET_UI_SIZE,Größe der Oberfläche,Interface size,Arayüz boyutu
COMP_FOOD_PRICE_VALUE,"Essen: %s je Portion (%s %%)","Food: %s per portion (%s %%)","Yemek: porsiyon başı %s (%s %%)"
MSG_LIC_ESSENRAUM,"Essenspreis jetzt zwischen %s und %s %% einstellbar (Zelt-Computer).","Food price can now be set between %s and %s %% (tent computer).","Yemek fiyatı artık %s ile %s %% arasında ayarlanabilir (çadır bilgisayarı)."
HINT_RINGWURF,{interact} Ringwerfen (2 €),{interact} Ring toss (€2),{interact} Halka atma (2 €)
RINGWURF_ANZEIGE,"Treffer: %d · Ringe: %d · Maus zielt, Maustaste halten und loslassen wirft, Esc beendet","Hits: %d · Rings: %d · Mouse aims, hold and release the button to throw, Esc quits","İsabet: %d · Halka: %d · Fare nişan alır, tuşu basılı tutup bırakınca atar, Esc çıkış"
HINT_ENTEN,{interact} Entenangeln (2 €),{interact} Duck fishing (€2),{interact} Ördek avı (2 €)
ENTEN_ANZEIGE,"Enten: %d von %d · Punkte: %d · Zeit: %d s · Maus führt die Angel, Maustaste halten senkt den Haken, Esc beendet","Ducks: %d of %d · Points: %d · Time: %d s · Mouse moves the rod, hold the button to lower the hook, Esc quits","Ördek: %d / %d · Puan: %d · Süre: %d sn · Fare oltayı gezdirir, tuşu basılı tutunca kanca iner, Esc çıkış"
ENTEN_ZEIT,"Zeit — gelb 1, blau 2, rosa 3 Punkte","Time — yellow 1, blue 2, pink 3 points","Süre — sarı 1, mavi 2, pembe 3 puan"
HINT_GLUECKSRAD,{interact} Glücksrad (3 €),{interact} Wheel of fortune (€3),{interact} Şans çarkı (3 €)
GLUECKSRAD_ANZEIGE,"Bestes Feld: %d · Drehungen: %d · Linksklick bremst — das Rad läuft noch gut eine Runde nach, Esc beendet","Best field: %d · Spins: %d · Left click brakes — the wheel still turns a good round, Esc quits","En iyi alan: %d · Çevirme: %d · Sol tık fren yapar — çark bir tur daha döner, Esc çıkış"
GLUECKSRAD_FELD,%d!,%d!,%d!
HINT_STEMMEN,{interact} Maßkrugstemmen (2 €),{interact} Stein holding (€2),{interact} Bira kupası tutma (2 €)
STEMMEN_ANZEIGE,"Gehalten: %.1f s · Punkte: %d · Maus hoch/runter hält den Krug waagrecht, Esc beendet","Held: %.1f s · Points: %d · Mouse up/down keeps the stein level, Esc quits","Tutulan: %.1f sn · Puan: %d · Fareyi yukarı/aşağı oynatıp kupayı düz tut, Esc çıkış"
STEMMEN_LAGE,"Arm gerade halten — Mitte ist waagrecht","Keep the arm straight — centre is level","Kolu düz tut — orta düz demek"
WORLD_STEMMEN,Maßkrugstemmen,Stein Holding,Kupa Tutma
HINT_NAGEL,{interact} Nagelbalken (2 €),{interact} Nail driving (€2),{interact} Çivi çakma (2 €)
NAGEL_ANZEIGE,"Nagel drin: %d %% · Schläge: %d · Linksklick schlägt — Kraft oben und Hammer genau über dem Nagel, Esc beendet","Nail in: %d %% · Swings: %d · Left click strikes — power at the top and hammer right above the nail, Esc quits","Çivi: %%%d · Vuruş: %d · Sol tık vurur — güç en üstte ve çekiç tam çivinin üstünde, Esc çıkış"
NAGEL_KRAFT,"Kraft — schief und fest verbiegt den Nagel!","Power — hard and crooked bends the nail!","Güç — sert ve eğri vurursan çivi eğilir!"
WORLD_NAGEL,Nagelbalken,Nail Driving,Çivi Çakma
HINT_KEGELN,{interact} Bierfass-Kegeln (2 €),{interact} Barrel skittles (€2),{interact} Varil bowling (2 €)
KEGELN_ANZEIGE,"Umgefallen: %d von %d · Würfe: %d · Maus zielt, Maustaste halten und loslassen rollt, Esc beendet","Knocked down: %d of %d · Rolls: %d · Mouse aims, hold and release the button to roll, Esc quits","Devrilen: %d / %d · Atış: %d · Fare nişan alır, tuşu basılı tutup bırakınca yuvarlar, Esc çıkış"
WORLD_KEGELN,Bierfass-Kegeln,Barrel Skittles,Varil Bowling
HINT_PFEIL,{interact} Ballonstechen (2 €),{interact} Balloon darts (€2),{interact} Balon patlatma (2 €)
PFEIL_ANZEIGE,"Geplatzt: %d · Pfeile übrig: %d · Punkte: %d · Maus zielt, Linksklick wirft, Esc beendet","Popped: %d · Darts left: %d · Points: %d · Mouse aims, left click throws, Esc quits","Patlayan: %d · Kalan ok: %d · Puan: %d · Fare nişan alır, sol tık atar, Esc çıkış"
WORLD_PFEIL,Ballonstechen,Balloon Darts,Balon Patlatma
HINT_MAULWURF,{interact} Hau den Maulwurf (2 €),{interact} Whack-a-mole (€2),{interact} Köstebek vurma (2 €)
MAULWURF_ANZEIGE,"Treffer: %d · Zeit: %.0f s · Punkte: %d · Maulwurf anklicken haut zu, Esc beendet","Hits: %d · Time: %.0f s · Points: %d · Click a mole to whack it, Esc quits","İsabet: %d · Süre: %.0f sn · Puan: %d · Köstebeğe tıkla ve vur, Esc çıkış"
MAULWURF_ZEIT,Restzeit,Time left,Kalan süre
WORLD_MAULWURF,Hau den Maulwurf,Whack-a-Mole,Köstebek Vur
HINT_KRUG,{interact} Krugschieben (2 €),{interact} Stein sliding (€2),{interact} Kupa kaydırma (2 €)
